nombre_empresa,cuit,periodo_fiscal,empleados,ingresos,gastos,margen,deuda,activos,prestamos_solicitados,prestamos_aprobados,monto_solicitado,monto_aprobado,ticket_promedio_solicitado,ticket_promedio_aprobado,prestamos_cancelados,prestamos_vigentes,tiempo_cancelacion_prestamo,servicios_utilizados,transferencias,pagos,creditos,inversiones,trimestre_dias_actividad,trimestre_dias_inactividad,promedio_login_dia,total_login_dia,churn
ServiRío SRL,20908297807,2022-Q1,357,63631398.52,39938432.23,23692966.29,45548219.07,118193434.85,2,1,14194552.29,7519426.24,7097276.14,7519426.24,0,1,90,2,0,1,0,1,44,46,6.0,264.0,0
ServiRío SRL,20908297807,2022-Q2,357,64500916.65,39658609.61,24842307.04,42514721.34,108278387.43,5,2,27574894.13,10846042.4,5514978.83,5423021.2,0,2,30,2,1,0,1,0,43,47,8.0,344.0,1
ServiRío SRL,20908297807,2022-Q3,357,63147771.57,44720199.46,18427572.11,46537414.99,117784721.67,4,2,28115595.68,9460946.97,7028898.92,4730473.49,1,1,30,2,0,1,1,0,6,84,7.0,42.0,0
ServiRío SRL,20908297807,2022-Q4,357,58832798.32,40348508.94,18484289.38,38249585.43,115521431.46,4,2,22655560.22,11232315.22,5663890.06,5616157.61,0,2,90,2,1,0,0,1,35,55,9.0,315.0,0
ServiRío SRL,20908297807,2023-Q1,357,64297684.58,44978730.27,19318954.31,41273229.61,105570914.19,1,0,2254371.93,0.0,2254371.93,2461640.01,0,0,90,0,0,0,0,0,50,40,6.0,300.0,1
ServiRío SRL,20908297807,2023-Q2,357,61128082.16,43646658.3,17481423.86,33928183.62,104003556.76,1,0,4136376.94,0.0,4136376.94,3005540.47,0,0,90,2,1,0,1,0,33,57,9.0,297.0,0
ServiRío SRL,20908297807,2023-Q3,357,59878074.2,44725449.86,15152624.34,36711326.97,103076200.11,4,1,27159489.7,4638287.51,6789872.43,4638287.51,1,0,90,2,1,1,0,0,29,61,8.0,232.0,0
ServiRío SRL,20908297807,2023-Q4,357,60995015.03,42109168.44,18885846.59,42843847.34,117042566.14,3,1,24298510.8,6812186.52,8099503.6,6812186.52,0,1,90,2,1,0,1,0,24,66,6.0,144.0,1
ServiRío SRL,20908297807,2024-Q1,357,54930821.67,42863998.79,12066822.88,34667288.9,116099852.32,2,1,10933528.71,4399684.42,5466764.36,4399684.42,1,0,60,1,0,0,0,1,80,10,8.0,640.0,0
ServiRío SRL,20908297807,2024-Q2,357,58625022.34,45567737.48,13057284.86,47082504.32,109278682.47,5,2,38923365.37,13064534.93,7784673.07,6532267.47,2,0,60,2,0,1,0,1,51,39,3.0,153.0,0
ServiRío SRL,20908297807,2024-Q3,357,64680769.53,38745732.56,25935036.97,35568733.78,110041659.72,4,1,23545773.78,4584868.41,5886443.45,4584868.41,0,1,60,3,1,0,1,1,6,84,10.0,60.0,0
ServiRío SRL,20908297807,2024-Q4,357,60706451.89,45636183.99,15070267.9,33039154.5,112364252.67,4,3,26837509.8,21207790.59,6709377.45,7069263.53,2,1,90,1,0,0,1,0,40,50,4.0,160.0,0
ServiRío SRL,20908297807,2025-Q1,357,54964091.02,44604037.35,10360053.67,46092090.78,101056181.8,0,0,0.0,0.0,5296484.07,5097779.17,0,0,0,3,1,0,1,1,73,17,1.0,73.0,0
ServiRío SRL,20908297807,2025-Q2,357,63050750.35,40488789.85,22561960.5,35774551.05,109622910.14,3,1,24124929.97,8223730.27,8041643.32,8223730.27,1,0,30,2,1,0,1,0,43,47,8.0,344.0,0
ServiRío SRL,20908297807,2025-Q3,357,55842199.76,43302348.0,12539851.76,33916880.3,119413286.14,3,1,9281421.41,2424906.54,3093807.14,2424906.54,0,1,30,3,0,1,1,1,31,59,4.0,124.0,0
ServiRío SRL,20908297807,2025-Q4,357,62114733.34,45451922.43,16662810.91,42179613.2,115456302.76,2,1,9843649.22,4586198.05,4921824.61,4586198.05,0,1,60,3,1,1,1,0,32,58,1.0,32.0,0
Garcia Industria S.R.L.,20927455227,2022-Q1,38,74984896.26,54866105.09,20118791.17,22273266.28,112818671.78,5,2,24545468.43,8444539.07,4909093.69,4222269.54,2,0,30,0,0,0,0,0,25,65,6.0,150.0,0
Garcia Industria S.R.L.,20927455227,2022-Q2,38,72794155.35,48959587.0,23834568.35,15999370.96,111272314.17,2,1,12612271.9,6462926.97,6306135.95,6462926.97,1,0,60,1,0,1,0,0,25,65,6.0,150.0,0
Garcia Industria S.R.L.,20927455227,2022-Q3,38,74006994.13,53598422.76,20408571.37,16204862.09,106725749.41,1,0,8949172.21,0.0,8949172.21,8932739.49,0,0,60,2,0,1,1,0,1,89,4.0,4.0,0
Garcia Industria S.R.L.,20927455227,2022-Q4,38,67922558.16,49179246.21,18743311.95,22192533.27,93733051.84,0,0,0.0,0.0,7283276.58,4703970.8,0,0,0,3,1,1,1,0,83,7,6.0,498.0,0
Garcia Industria S.R.L.,20927455227,2023-Q1,38,77302260.06,53527779.77,23774480.29,16231531.55,107323700.88,3,2,21088671.31,11256275.01,7029557.1,5628137.51,2,0,90,2,0,1,0,1,67,23,10.0,670.0,0
Garcia Industria S.R.L.,20927455227,2023-Q2,38,69065860.61,50295319.03,18770541.58,21153749.1,108308473.39,0,0,0.0,0.0,6800921.59,5432752.88,0,0,0,2,0,0,1,1,88,2,7.0,616.0,0
Garcia Industria S.R.L.,20927455227,2023-Q3,38,71575208.26,47587333.07,23987875.19,17575155.52,106656108.87,0,0,0.0,0.0,7922617.54,8354778.97,0,0,0,2,1,1,0,0,15,75,1.0,15.0,1
Garcia Industria S.R.L.,20927455227,2023-Q4,38,70183798.34,54515236.75,15668561.59,20432865.52,98449310.24,5,3,48504168.68,25328731.39,9700833.74,8442910.46,2,1,30,3,1,1,0,1,74,16,1.0,74.0,0
Garcia Industria S.R.L.,20927455227,2024-Q1,38,76009265.62,53141742.12,22867523.5,17904127.58,96852119.51,4,3,38868692.93,26622695.94,9717173.23,8874231.98,0,3,90,1,0,0,0,1,35,55,3.0,105.0,0
Garcia Industria S.R.L.,20927455227,2024-Q2,38,76410304.19,49386675.69,27023628.5,15377878.03,106031182.26,4,2,25038012.89,12588305.1,6259503.22,6294152.55,1,1,60,2,1,0,1,0,44,46,10.0,440.0,0
Garcia Industria S.R.L.,20927455227,2024-Q3,38,74110034.37,51453360.8,22656673.57,20300488.62,95278432.07,2,1,18403449.19,9071963.52,9201724.59,9071963.52,0,1,60,2,1,1,0,0,17,73,3.0,51.0,0
Garcia Industria S.R.L.,20927455227,2024-Q4,38,66619962.14,46638307.98,19981654.16,16058676.67,93597508.94,2,1,10787509.32,3864417.35,5393754.66,3864417.35,0,1,60,0,0,0,0,0,6,84,3.0,18.0,0
Garcia Industria S.R.L.,20927455227,2025-Q1,38,71045449.83,55679012.91,15366436.92,17334565.59,96991645.44,1,0,11119056.91,0.0,11119056.91,6934144.19,0,0,90,3,1,0,1,1,71,19,6.0,426.0,0
Garcia Industria S.R.L.,20927455227,2025-Q2,38,75731612.06,50414126.71,25317485.35,22139307.25,104978218.18,5,2,14861589.59,5128538.07,2972317.92,2564269.03,1,1,30,2,0,0,1,1,27,63,9.0,243.0,1
Garcia Industria S.R.L.,20927455227,2025-Q3,38,74290177.64,50284182.56,24005995.08,17870464.11,102495193.92,5,2,13890481.67,3966450.1,2778096.33,1983225.05,0,2,60,1,1,0,0,0,67,23,1.0,67.0,0
Garcia Industria S.R.L.,20927455227,2025-Q4,38,77338616.19,54518353.88,22820262.31,19794560.83,114131635.52,5,2,36894735.64,11023683.89,7378947.13,5511841.94,2,0,30,0,0,0,0,0,11,79,7.0,77.0,0
Romero Industria S.R.L.,20978553770,2022-Q1,27,69867805.29,40352664.63,29515140.66,28051365.19,105528407.55,3,2,9347442.02,6498332.41,3115814.01,3249166.2,2,0,30,1,0,1,0,0,10,80,5.0,50.0,0
Romero Industria S.R.L.,20978553770,2022-Q2,27,67569255.19,42364240.35,25205014.84,27411879.75,117672213.74,3,2,17044794.39,6989642.42,5681598.13,3494821.21,2,0,90,3,1,0,1,1,16,74,1.0,16.0,0
Romero Industria S.R.L.,20978553770,2022-Q3,27,61298449.26,45032706.5,16265742.76,26600660.74,103032726.45,3,2,12288453.5,5937550.55,4096151.17,2968775.28,1,1,90,1,0,0,0,1,8,82,6.0,48.0,0
Romero Industria S.R.L.,20978553770,2022-Q4,27,63203200.15,42664732.53,20538467.62,27159390.1,116521559.47,3,2,14581137.45,9247668.46,4860379.15,4623834.23,1,1,60,2,0,1,1,0,10,80,7.0,70.0,0
Romero Industria S.R.L.,20978553770,2023-Q1,27,64048547.5,48576379.24,15472168.26,25639432.47,100390008.94,4,2,25133030.19,11879137.55,6283257.55,5939568.77,2,0,30,3,1,1,1,0,29,61,6.0,174.0,0
Romero Industria S.R.L.,20978553770,2023-Q2,27,59920084.94,42840695.4,17079389.54,32707442.8,103530405.66,0,0,0.0,0.0,7354515.26,4861278.93,0,0,0,2,1,0,1,0,8,82,10.0,80.0,0
Romero Industria S.R.L.,20978553770,2023-Q3,27,69988299.15,41964378.8,28023920.35,35404898.29,111611956.85,3,1,17080177.71,4704589.47,5693392.57,4704589.47,1,0,90,2,0,1,0,1,22,68,5.0,110.0,0
Romero Industria S.R.L.,20978553770,2023-Q4,27,62965446.2,45670265.14,17295181.06,32730745.8,110929237.06,0,0,0.0,0.0,5779966.42,4335003.15,0,0,0,2,0,0,1,1,45,45,4.0,180.0,1
Romero Industria S.R.L.,20978553770,2024-Q1,27,60045110.27,46242029.58,13803080.69,36225193.51,106210888.55,1,0,4838828.67,0.0,4838828.67,3535818.96,0,0,60,2,1,0,0,1,90,0,3.0,270.0,0
Romero Industria S.R.L.,20978553770,2024-Q2,27,69647633.12,40997467.35,28650165.77,34810090.6,112912960.11,2,1,6168806.49,2654137.95,3084403.24,2654137.95,0,1,90,1,0,0,1,0,69,21,9.0,621.0,0
Romero Industria S.R.L.,20978553770,2024-Q3,27,62556166.05,47800210.06,14755955.99,30019822.57,111116743.71,4,2,25300727.85,7734205.57,6325181.96,3867102.78,2,0,90,2,0,1,0,1,10,80,10.0,100.0,0
Romero Industria S.R.L.,20978553770,2024-Q4,27,62601164.96,40644973.25,21956191.71,32623287.64,96971202.76,2,1,14137951.82,6347800.82,7068975.91,6347800.82,1,0,90,4,1,1,1,1,30,60,7.0,210.0,0
Romero Industria S.R.L.,20978553770,2025-Q1,27,64993962.63,45548344.01,19445618.62,34149763.63,99143726.27,1,0,9678751.13,0.0,9678751.13,7591961.14,0,0,60,2,1,0,0,1,70,20,3.0,210.0,0
Romero Industria S.R.L.,20978553770,2025-Q2,27,71184600.97,43259717.57,27924883.4,27509999.03,113372920.3,3,2,15763973.02,6956104.81,5254657.67,3478052.41,2,0,90,2,1,1,0,0,71,19,7.0,497.0,0
Romero Industria S.R.L.,20978553770,2025-Q3,27,71623381.62,44278433.5,27344948.12,29907381.02,116555062.91,5,4,23876741.11,15877136.45,4775348.22,3969284.11,3,1,90,2,0,0,1,1,24,66,3.0,72.0,0
Romero Industria S.R.L.,20978553770,2025-Q4,27,69347451.37,48271457.07,21075994.3,36191642.27,116778749.11,3,2,23966567.82,11329629.36,7988855.94,5664814.68,1,1,90,3,1,0,1,1,17,73,10.0,170.0,0
UQT TEC S.A.,23143037614,2022-Q1,473,68615825.43,51464981.1,17150844.33,18268880.43,110101734.84,3,2,13469822.77,7186917.74,4489940.92,3593458.87,1,1,60,3,1,1,0,1,60,30,9.0,540.0,0
UQT TEC S.A.,23143037614,2022-Q2,473,69893215.05,44277516.51,25615698.54,21820800.33,99583737.22,2,1,15388645.97,7247665.91,7694322.99,7247665.91,1,0,30,3,1,1,0,1,55,35,2.0,110.0,1
UQT TEC S.A.,23143037614,2022-Q3,473,77915021.45,49388318.32,28526703.13,19083807.81,107423549.74,3,1,14781221.14,3130740.97,4927073.71,3130740.97,1,0,30,2,0,1,0,1,23,67,9.0,207.0,0
UQT TEC S.A.,23143037614,2022-Q4,473,77675080.74,47607717.7,30067363.04,16649646.94,98734605.16,5,4,31457214.28,17671789.51,6291442.86,4417947.38,4,0,90,2,1,0,0,1,18,72,2.0,36.0,0
UQT TEC S.A.,23143037614,2023-Q1,473,70488798.28,49977840.46,20510957.82,23258252.42,106925113.72,3,2,19647209.02,11644947.28,6549069.67,5822473.64,2,0,60,2,0,1,1,0,89,1,5.0,445.0,1
UQT TEC S.A.,23143037614,2023-Q2,473,78607768.59,49300961.22,29306807.37,17013036.96,97208682.08,4,2,25296102.02,8045195.45,6324025.5,4022597.73,2,0,90,4,1,1,1,1,88,2,1.0,88.0,0
UQT TEC S.A.,23143037614,2023-Q3,473,78288690.13,51027513.74,27261176.39,23395608.43,104072937.78,1,0,2859201.86,0.0,2859201.86,2882528.9,0,0,30,2,0,1,1,0,24,66,1.0,24.0,0
UQT TEC S.A.,23143037614,2023-Q4,473,68164707.46,46679511.99,21485195.47,17824230.07,105309059.03,2,1,16773605.31,5585744.26,8386802.65,5585744.26,1,0,60,3,1,1,0,1,31,59,8.0,248.0,0
UQT TEC S.A.,23143037614,2024-Q1,473,75202402.65,46286247.62,28916155.03,15954470.91,94813436.45,3,1,11890639.42,2958454.77,3963546.47,2958454.77,0,1,30,2,1,0,1,0,69,21,5.0,345.0,0
UQT TEC S.A.,23143037614,2024-Q2,473,67480761.5,47572575.53,19908185.97,19637417.37,108007356.31,2,1,8162501.08,3531415.91,4081250.54,3531415.91,1,0,90,3,1,1,1,0,19,71,9.0,171.0,0
UQT TEC S.A.,23143037614,2024-Q3,473,78897043.33,48366617.01,30530426.32,16261831.36,95718436.5,0,0,0.0,0.0,7433466.02,6708153.72,0,0,0,2,1,0,1,0,70,20,4.0,280.0,0
UQT TEC S.A.,23143037614,2024-Q4,473,68143652.88,49903195.7,18240457.18,17142009.55,102542475.2,4,3,27671846.15,19483492.35,6917961.54,6494497.45,3,0,60,1,1,0,0,0,18,72,9.0,162.0,0
UQT TEC S.A.,23143037614,2025-Q1,473,75078469.89,46293981.66,28784488.23,19706574.8,106700702.39,0,0,0.0,0.0,8308775.8,6145932.25,0,0,0,1,0,1,0,0,2,88,8.0,16.0,0
UQT TEC S.A.,23143037614,2025-Q2,473,76622233.15,49345318.75,27276914.4,21823558.44,109334449.47,5,3,20314646.0,13313827.94,4062929.2,4437942.65,2,1,30,0,0,0,0,0,49,41,3.0,147.0,0
UQT TEC S.A.,23143037614,2025-Q3,473,76645016.07,47091776.32,29553239.75,23112985.44,107168735.04,3,2,16050940.83,9183779.76,5350313.61,4591889.88,0,2,30,2,1,1,0,0,45,45,4.0,180.0,0
UQT TEC S.A.,23143037614,2025-Q4,473,69948484.17,50013334.98,19935149.19,17123028.74,104233337.35,0,0,0.0,0.0,8537665.99,7192978.23,0,0,0,2,0,1,1,0,61,29,10.0,610.0,0
Diaz Comercio S.A.S.,23181657960,2022-Q1,177,78511414.92,52152860.0,26358554.92,28959090.94,121793294.26,0,0,0.0,0.0,6259564.64,5486076.42,0,0,0,2,0,1,1,0,49,41,8.0,392.0,0
Diaz Comercio S.A.S.,23181657960,2022-Q2,177,84042318.07,52222540.8,31819777.27,25967526.22,129867430.13,5,3,29150101.99,12777994.58,5830020.4,4259331.53,2,1,30,2,1,0,0,1,19,71,10.0,190.0,0
Diaz Comercio S.A.S.,23181657960,2022-Q3,177,71206605.04,51111123.57,20095481.47,24396314.28,121549531.64,3,2,9587424.02,4046892.64,3195808.01,2023446.32,1,1,30,2,0,1,0,1,29,61,6.0,174.0,0
Diaz Comercio S.A.S.,23181657960,2022-Q4,177,73599997.63,48995816.59,24604181.04,33234461.39,127085889.93,3,1,23533487.65,5453963.14,7844495.88,5453963.14,1,0,30,1,0,0,1,0,79,11,2.0,158.0,0
Diaz Comercio S.A.S.,23181657960,2023-Q1,177,70654200.58,48986109.44,21668091.14,31855949.17,137402987.6,2,1,14426932.71,6972553.21,7213466.35,6972553.21,1,0,90,2,1,0,0,1,73,17,3.0,219.0,0
Diaz Comercio S.A.S.,23181657960,2023-Q2,177,70671892.62,47185970.43,23485922.19,24917360.54,120162341.24,1,0,4041243.99,0.0,4041243.99,3560026.69,0,0,90,3,1,0,1,1,31,59,2.0,62.0,0
Diaz Comercio S.A.S.,23181657960,2023-Q3,177,76255106.56,46179754.26,30075352.3,32910441.28,146228997.42,3,1,14137466.32,3830178.85,4712488.77,3830178.85,1,0,60,3,1,1,1,0,21,69,10.0,210.0,0
